x_pos,y_pos
204.0,334.0
218.36179981634524,339.975665748393
232.35629017447198,343.35720844811755
245.9834710743802,344.1446280991736
259.2433425160698,342.33792470156106
272.13590449954086,337.9370982552801
284.6611570247934,330.9421487603306
296.6501377410469,321.4926538108357
306.5399449035812,310.87970615243336
313.95041322314046,299.4173553719008
318.8815426997245,287.1056014692378
321.3333333333333,273.94444444444446
321.3057851239669,259.93388429752065
318.79889807162533,245.0739210284665
314.0918273645546,229.95959595959593
307.76033057851237,215.81818181818178
299.82185491276397,202.68686868686865
290.2764003673094,190.56565656565655
279.12396694214874,179.45454545454544
266.3645546372819,169.35353535353536
252.0367309458219,160.25941230486686
237.41322314049586,152.06611570247932
223.11111111111114,144.72222222222223
209.13039485766757,138.2277318640955
195.47107438016528,132.58264462809916
182.1331496786042,127.78696051423324
169.11662075298437,123.8406795224977
156.47933884297524,121.11157024793388
144.4591368227732,121.11157024793386
133.08172635445362,124.00413223140495
122.34710743801652,129.78925619834712
112.25528007346188,138.46694214876038
102.80624426078967,150.03719008264468
94.00000000000001,164.5
87.29430670339761,179.20385674931126
84.14692378328743,191.49724517906338
84.55785123966943,201.3801652892562
88.52708907254365,208.85261707988985
96.05463728190999,213.9146005509642
107.14049586776858,216.56611570247932
121.21166207529843,217.0569329660239
132.96786042240586,217.6974288337925
141.11983471074382,219.0495867768595
145.6675849403122,221.11340679522496
146.6111111111111,223.88888888888886
143.95041322314052,227.37603305785123
137.68549127640037,231.574839302112
129.15335169880626,236.36776859504133
121.11157024793387,241.51239669421489
113.64370982552799,247.00137741046836
106.74977043158859,252.83471074380168
100.42975206611571,259.0123966942149
94.68365472910925,265.53443526170804
89.53719008264461,272.4054178145087
85.83884297520662,279.7768595041322
83.99999999999999,287.72222222222223
84.02066115702479,296.24150596877865
85.90082644628102,305.3347107438017
89.6404958677686,315.00183654729113
95.23966942148759,325.242883379247
102.30991735537194,335.68595041322317
109.25436179981634,344.8021120293847
115.90036730945826,352.42607897153357
122.24793388429754,358.55785123966945
128.2970615243343,363.1974288337925
134.04775022956846,366.3448117539027
139.5,368.0
144.6308539944904,368.6910009182737
149.41735537190084,368.94582185491277
153.85950413223145,368.76446280991735
157.9573002754821,368.14692378328743
161.7107438016529,367.09320477502297
165.11983471074382,365.60330578512395
168.12764003673095,363.6864095500459
170.2075298438935,361.4274563820019
171.2314049586777,358.84710743801656
171.1992653810836,355.94536271809005
170.11111111111106,352.7222222222222
167.96694214876032,349.1776859504132
164.76675849403125,345.31175390266304
161.25252525252526,341.17584940312213
158.95454545454547,336.87603305785126
157.91919191919192,332.41551882460976
158.14646464646464,327.79430670339764
159.63636363636365,323.01239669421494
162.38888888888886,318.06978879706156
166.37052341597797,313.0073461891643
170.47520661157023,309.1735537190082
174.1666666666666,307.2222222222222
177.4449035812672,307.1533516988062
180.3099173553719,308.9669421487603
182.76170798898073,312.6629935720845
184.80027548209364,318.24150596877865
186.5619834710744,325.0743801652893
188.60743801652896,330.5794306703398
190.99724517906336,334.4775022956841
193.7314049586777,336.7685950413223
196.80991735537188,337.4527089072543
200.23278236914604,336.5298438934803
204.0,334.0
